"","OTU","p_time","p_group","p_group_time","p_time","p_group","p_group_time"
"102","OTU_2180",0.945453867123325,0.1112377253978,0.00965571196023381,"ns","ns","s"
"103","OTU_2183",4.8280842732204e-06,0.63506685175438,0.202983736869797,"s","ns","ns"
"104","OTU_2192",0.489372798973735,0.385757253233908,0.816725209533141,"ns","ns","ns"
"105","OTU_2195",0.78599107098855,0.109542014496,0.0226747596468094,"ns","ns","s"
"106","OTU_2201",0.71566346087475,0.0217572333160256,0.00401885561761334,"ns","s","s"
"107","OTU_2202",0.0463118437568248,0.00971606735301828,0.0014268658191659,"s","s","s"
"108","OTU_2203",0.911696288093177,0.0102383529387626,0.0010089110511834,"ns","s","s"
"109","OTU_2213",0.260991252694787,0.146932327145628,0.672007323335002,"ns","ns","ns"
"110","OTU_2220",0.121542244277131,0.026907717307855,0.00984227490061731,"ns","s","s"
"111","OTU_2227",0.0757943461011133,0.078813903885128,0.00927957480973483,"ns","ns","s"
"112","OTU_2239",0.0135839204682205,0.496352805368603,0.58614273300701,"s","ns","ns"
"113","OTU_2240",0.96561613157188,0.394306461450889,0.963853154216287,"ns","ns","ns"
"114","OTU_2242",0.749839251863197,0.0532026780667279,0.925790457623928,"ns","ns","ns"
"115","OTU_2245",0.489775398885235,0.120557326819071,0.961329688617907,"ns","ns","ns"
"116","OTU_2248",0.959230914508945,0.173180692737707,0.12988627912752,"ns","ns","ns"
"117","OTU_2257",0.0463564572374318,0.141538219937544,0.258002057717919,"s","ns","ns"
"118","OTU_2270",0.109741764781496,0.352475516352015,0.415146522229956,"ns","ns","ns"
"119","OTU_2277",0.409114435338853,0.11787192971061,0.292989638786596,"ns","ns","ns"
"120","OTU_2285",0.486153339218615,0.115375906952732,0.142686920897997,"ns","ns","ns"
"121","OTU_2286",0.907442858802984,0.331096973797869,0.69449743097638,"ns","ns","ns"
"122","OTU_2301",0.00103755194328577,0.912544190877192,0.453636294295074,"s","ns","ns"
"123","OTU_2326",0.013538552694867,0.93000711765099,0.496431368915426,"s","ns","ns"
"124","OTU_2327",0.0376306093282119,0.882264174424367,0.57896398568593,"s","ns","ns"
"125","OTU_2342",0.0935191579095975,0.115049124011027,0.368655375506276,"ns","ns","ns"
"126","OTU_2351",0.00403477606987479,0.294680184064605,0.356527157310306,"s","ns","ns"
"127","OTU_2361",0.457288427866887,0.955211413054088,0.546572423038449,"ns","ns","ns"
"128","OTU_2389",0.808704331270764,0.424348051235612,0.981526872851851,"ns","ns","ns"
"129","OTU_2449",0.000389377814943458,0.557976961747105,0.154690294494102,"s","ns","ns"
"130","OTU_2508",0.000237703120037765,0.502889744696106,0.396109159942961,"s","ns","ns"
"131","OTU_2525",0.00607361051556467,0.758191382221255,0.514347766108322,"s","ns","ns"
"132","OTU_2571",0.0208516254836128,0.640296706995532,0.331866120131864,"s","ns","ns"
"133","OTU_2573",0.0354670889805013,0.591990920762075,0.514961851477549,"s","ns","ns"
"134","OTU_2577",0.0209701527009254,0.60642833683487,0.505632187539014,"s","ns","ns"
"135","OTU_2597",0.0752044062176169,0.45644306786931,0.660103449921205,"ns","ns","ns"
"136","OTU_2611",0.261518748625229,0.200017202294511,0.5307277037354,"ns","ns","ns"
"137","OTU_2632",0.000650059729115808,0.620082474785483,0.285855626426954,"s","ns","ns"
"138","OTU_2658",0.00361852777468223,0.594970256888954,0.926565400343162,"s","ns","ns"
"139","OTU_2735",0.548528524456216,0.326580402007746,0.87898843586922,"ns","ns","ns"
"140","OTU_2809",0.221192248950442,0.13872529947019,0.0300699125158904,"ns","ns","s"
"141","OTU_2837",0.938331923762868,0.00153996759280633,0.0426469936082966,"ns","s","s"
"142","OTU_2850",0.677668102609498,0.0303271125607268,0.00473613214049027,"ns","s","s"
"143","OTU_2856",0.90336796292603,0.324518458194924,0.00233973804552671,"ns","ns","s"
"144","OTU_2864",0.234569710380091,0.199780006371553,0.790079438412671,"ns","ns","ns"
"145","OTU_2867",0.348546456810038,0.976700082977538,0.0763973436224666,"ns","ns","ns"
"146","OTU_2871",0.0581821296864761,0.0173496353909568,3.81992229612607e-05,"ns","s","s"
"147","OTU_2912",0.389714589814662,0.106866794523876,0.913957499659964,"ns","ns","ns"
"148","OTU_2929",0.275943280545042,0.00894804903375977,0.230938175053109,"ns","s","ns"
"149","OTU_2933",0.762801644283642,0.0858166717643731,0.747475733045444,"ns","ns","ns"
"150","OTU_2935",0.0269889683016235,0.580158605502356,0.744060088741125,"s","ns","ns"
"151","OTU_2940",0.852716529919581,0.0806814245147053,0.957062649903354,"ns","ns","ns"
"152","OTU_2961",0.849250148855525,0.0936877408086339,0.97813656174207,"ns","ns","ns"
"153","OTU_2962",0.700098801185681,0.0519417075628147,0.456767704539258,"ns","ns","ns"
"154","OTU_2972",0.00168724029087097,0.8069765135513,0.486056797817206,"s","ns","ns"
"155","OTU_2982",0.830756422776088,0.0307241985369518,0.490758356633324,"ns","s","ns"
"156","OTU_2994",NA,NA,NA,NA,NA,NA
"157","OTU_3007",0.0159203499005644,0.381512163956637,0.577660075430278,"s","ns","ns"
"158","OTU_3009",0.0806528958674675,0.343359873912431,0.684906009661298,"ns","ns","ns"
"159","OTU_3010",8.75232348179202e-08,0.0154950022482407,0.00474815605847222,"s","s","s"
"160","OTU_3015",0.000688197203180348,0.52849566080687,0.275250678215851,"s","ns","ns"
"161","OTU_3045",0.00269961804711523,0.605964450929403,0.499692019439513,"s","ns","ns"
"162","OTU_3076",0.89831533941004,0.124488054538814,0.954355361859914,"ns","ns","ns"
"163","OTU_3123",0.0162414026707681,0.900661860013825,0.582406808596185,"s","ns","ns"
"164","OTU_3124",0.0557154818579953,0.275891856906082,0.585646844013846,"ns","ns","ns"
"165","OTU_3128",0.00118050182101483,0.864780702544474,0.441639249310504,"s","ns","ns"
"166","OTU_3131",0.000640952629418625,0.817464164582296,0.2767704054615,"s","ns","ns"
"167","OTU_3132",0.0346069263379858,0.626094010067838,0.639656933626993,"s","ns","ns"
"168","OTU_3140",0.504728363221574,0.446499742816338,0.884329323428807,"ns","ns","ns"
"169","OTU_3148",0.0110686903002785,0.579553263163861,0.569911930313251,"s","ns","ns"
"170","OTU_3155",2.1913109968401e-05,0.685857525872129,0.313586333086637,"s","ns","ns"
"171","OTU_3158",0.0527197012858648,0.445214835293847,0.670730254443179,"ns","ns","ns"
"172","OTU_3161",0.79414783803189,0.0524855440244465,0.181540185624657,"ns","ns","ns"
"173","OTU_3168",4.28718771122788e-10,0.00703885560506522,0.0998595344338102,"s","s","ns"
"174","OTU_3193",0.999981802346861,0.0111082480611415,0.020602465843441,"ns","s","s"
"175","OTU_3208",0.000170543795146205,0.202637750595408,0.018705374240326,"s","ns","s"
"176","OTU_3244",0.583494096813053,0.00232816034027987,0.0133525395072874,"ns","s","s"
"177","OTU_3247",0.000948642029550449,0.9015788813121,0.345763354325365,"s","ns","ns"
"178","OTU_3275",1.17335731555862e-05,0.768756962188224,0.150787082687878,"s","ns","ns"
"179","OTU_3276",0.00163143740284372,0.456967691201492,0.458080575368277,"s","ns","ns"
"180","OTU_3281",0.407949714905213,0.435520363590043,0.84848649834092,"ns","ns","ns"
"181","OTU_3283",0.166309871475373,0.337412870071555,0.756175503697437,"ns","ns","ns"
"182","OTU_3300",0.984878173954607,0.0132908769969148,0.0181311850739856,"ns","s","s"
"183","OTU_3388",0.534653324452562,0.522161284234386,0.890167981672675,"ns","ns","ns"
"184","OTU_3393",0.962757897707501,0.184424448004411,0.993263189913265,"ns","ns","ns"
"185","OTU_3409",0.00520570653940437,0.911308901464241,0.394950918421032,"s","ns","ns"
"186","OTU_3417",0.0127374617917753,0.716151275511332,0.624371847188177,"s","ns","ns"
"187","OTU_3418",0.0166864158469674,0.426844192255161,0.592306172033878,"s","ns","ns"
"188","OTU_3425",0.00427711748824872,0.699219711450886,0.471724387754091,"s","ns","ns"
"189","OTU_3427",0.119009837155249,0.24318145994167,0.720841889565264,"ns","ns","ns"
"190","OTU_3443",0.00137058392911863,0.95546241205033,0.381909301581496,"s","ns","ns"
"191","OTU_3449",0.0518854436025691,0.481829486626971,0.667027218928781,"ns","ns","ns"
"192","OTU_3459",0.0010351693165483,0.836913135843278,0.358610519448279,"s","ns","ns"
"193","OTU_3470",0.192558321472072,0.418042424147788,0.768114016880177,"ns","ns","ns"
